item_id,MAE,RMSE,MASE,Model
FOODS_1_004,1.8873,2.3637,0.8219,XGBoost
FOODS_1_012,1.9038,2.3522,0.7908,XGBoost
FOODS_1_018,4.2998,5.896,0.8062,XGBoost
FOODS_1_019,5.7819,7.0999,0.8131,XGBoost
FOODS_1_021,0.9682,1.0712,2.6142,XGBoost
FOODS_1_032,2.4623,4.2948,0.6582,XGBoost
FOODS_1_036,1.2011,1.4689,0.9009,XGBoost
FOODS_1_040,1.8005,2.0709,1.0344,XGBoost
FOODS_1_042,2.3026,2.7462,0.9143,XGBoost
FOODS_1_043,3.5735,4.8134,0.7254,XGBoost
FOODS_1_044,1.4009,1.7666,0.9456,XGBoost
FOODS_1_045,2.1728,2.4774,1.0115,XGBoost
FOODS_1_046,3.2872,3.9757,0.8218,XGBoost
FOODS_1_054,1.9166,2.8062,0.616,XGBoost
FOODS_1_055,3.929,6.54,0.68,XGBoost
FOODS_1_058,1.59,2.4592,0.7666,XGBoost
FOODS_1_067,2.5876,3.8832,0.9193,XGBoost
FOODS_1_082,2.6834,3.262,0.6412,XGBoost
FOODS_1_085,3.8403,4.7163,0.6912,XGBoost
FOODS_1_086,4.3054,4.8923,0.93,XGBoost
FOODS_1_087,1.8107,2.2692,0.7521,XGBoost
FOODS_1_099,3.5457,4.2655,0.7978,XGBoost
FOODS_1_104,1.5745,2.2788,0.9447,XGBoost
FOODS_1_110,3.0663,3.9616,1.0614,XGBoost
FOODS_1_112,1.121,1.9013,0.9172,XGBoost
FOODS_1_113,3.2794,4.0999,1.2129,XGBoost
FOODS_1_120,1.1899,1.613,0.6299,XGBoost
FOODS_1_130,1.2562,1.6392,0.6922,XGBoost
FOODS_1_137,2.4962,3.3015,1.0871,XGBoost
FOODS_1_139,2.5593,3.0466,0.8747,XGBoost
FOODS_1_153,2.2423,2.6166,1.009,XGBoost
FOODS_1_154,2.0468,2.5024,0.9367,XGBoost
FOODS_1_161,1.6639,2.0254,0.8319,XGBoost
FOODS_1_162,1.5585,1.8166,0.7255,XGBoost
FOODS_1_163,0.6066,0.6766,1.0236,XGBoost
FOODS_1_166,1.3249,1.6302,0.6504,XGBoost
FOODS_1_170,2.4241,2.816,0.8285,XGBoost
FOODS_1_172,1.0855,1.4731,0.7921,XGBoost
FOODS_1_173,2.6617,3.693,0.7046,XGBoost
FOODS_1_181,1.4383,1.7955,0.7061,XGBoost
FOODS_1_183,1.2284,1.551,0.9213,XGBoost
FOODS_1_184,1.0288,1.2218,0.896,XGBoost
FOODS_1_194,1.5081,1.8661,1.1634,XGBoost
FOODS_1_200,2.8089,3.5567,0.6958,XGBoost
FOODS_1_201,1.4137,1.9599,0.8482,XGBoost
FOODS_1_204,1.7396,2.0822,1.2043,XGBoost
FOODS_1_206,1.7025,2.1434,0.6965,XGBoost
FOODS_1_217,2.1849,2.5959,0.8428,XGBoost
FOODS_1_218,5.0154,5.9451,0.9813,XGBoost
